Filter	Peak	Avg	AF	Time
dB-A	78.50	77.68	398	2022/7/11 16:11:47
dB-A	77.67	77.78	231	2022/7/11 16:11:47
dB-A	78.20	77.64	269	2022/7/11 16:11:47
dB-A	79.37	77.64	409	2022/7/11 16:11:47
dB-A	76.28	77.65	199	2022/7/11 16:11:47
dB-A	78.17	77.94	279	2022/7/11 16:11:47
dB-A	80.06	78.48	322	2022/7/11 16:11:47
dB-A	79.92	78.63	349	2022/7/11 16:11:48
dB-A	78.91	78.50	328	2022/7/11 16:11:48
dB-A	76.95	78.40	366	2022/7/11 16:11:48
dB-A	77.97	78.35	317	2022/7/11 16:11:48
dB-A	74.36	78.02	231	2022/7/11 16:11:48
dB-A	75.27	77.73	430	2022/7/11 16:11:48
dB-A	75.06	77.29	333	2022/7/11 16:11:48
dB-A	75.14	77.18	925	2022/7/11 16:11:48
dB-A	76.74	77.04	322	2022/7/11 16:11:48
dB-A	74.47	76.48	312	2022/7/11 16:11:48
dB-A	76.37	76.12	441	2022/7/11 16:11:49
dB-A	78.81	76.11	328	2022/7/11 16:11:49
dB-A	76.70	76.09	285	2022/7/11 16:11:49
dB-A	74.66	75.76	263	2022/7/11 16:11:49
dB-A	78.69	76.19	1663	2022/7/11 16:11:49
dB-A	76.73	76.34	301	2022/7/11 16:11:49
dB-A	79.73	76.80	296	2022/7/11 16:11:49
dB-A	79.53	77.24	285	2022/7/11 16:11:49
dB-A	76.49	77.22	253	2022/7/11 16:11:49
dB-A	84.29	78.20	1964	2022/7/11 16:11:49
dB-A	79.32	78.50	279	2022/7/11 16:11:49
dB-A	76.29	78.24	253	2022/7/11 16:11:50
dB-A	75.70	78.14	209	2022/7/11 16:11:50
dB-A	75.77	78.26	301	2022/7/11 16:11:50
dB-A	74.25	77.81	172	2022/7/11 16:11:50
dB-A	75.80	77.72	263	2022/7/11 16:11:50
dB-A	75.06	77.25	231	2022/7/11 16:11:50
dB-A	80.13	77.31	1760	2022/7/11 16:11:50
dB-A	75.01	77.16	301	2022/7/11 16:11:50
dB-A	73.32	76.07	296	2022/7/11 16:11:50
dB-A	73.27	75.46	322	2022/7/11 16:11:50
dB-A	74.83	75.31	317	2022/7/11 16:11:50
dB-A	73.81	75.12	1862	2022/7/11 16:11:51
dB-A	72.68	74.82	215	2022/7/11 16:11:51
dB-A	75.94	74.99	1911	2022/7/11 16:11:51
dB-A	75.24	74.93	285	2022/7/11 16:11:51
dB-A	75.77	75.00	1943	2022/7/11 16:11:51
dB-A	73.04	74.29	285	2022/7/11 16:11:51
dB-A	78.05	74.60	290	2022/7/11 16:11:51
dB-A	76.74	74.94	274	2022/7/11 16:11:51
dB-A	77.25	75.34	296	2022/7/11 16:11:51
dB-A	83.60	76.21	1701	2022/7/11 16:11:51
dB-A	76.30	76.46	705	2022/7/11 16:11:51
dB-A	73.79	76.57	269	2022/7/11 16:11:52
dB-A	80.25	77.00	1819	2022/7/11 16:11:52
dB-A	76.97	77.18	403	2022/7/11 16:11:52
dB-A	79.84	77.58	263	2022/7/11 16:11:52
dB-A	82.39	78.52	1744	2022/7/11 16:11:52
dB-A	80.59	78.77	1776	2022/7/11 16:11:52
dB-A	78.80	78.98	2002	2022/7/11 16:11:52
dB-A	77.54	79.01	1948	2022/7/11 16:11:52
dB-A	79.20	78.57	312	2022/7/11 16:11:52
dB-A	78.23	78.76	263	2022/7/11 16:11:52
dB-A	79.86	79.37	1981	2022/7/11 16:11:53
dB-A	76.51	78.99	247	2022/7/11 16:11:53
dB-A	78.28	79.12	242	2022/7/11 16:11:53
dB-A	79.00	79.04	285	2022/7/11 16:11:53
dB-A	80.64	78.86	1975	2022/7/11 16:11:53
dB-A	73.68	78.17	333	2022/7/11 16:11:53
dB-A	78.30	78.12	1738	2022/7/11 16:11:53
dB-A	77.89	78.16	1658	2022/7/11 16:11:53
dB-A	78.49	78.09	274	2022/7/11 16:11:53
dB-A	79.04	78.17	549	2022/7/11 16:11:53
dB-A	74.49	77.63	220	2022/7/11 16:11:53
dB-A	78.77	77.86	425	2022/7/11 16:11:54
dB-A	74.72	77.50	253	2022/7/11 16:11:54
dB-A	77.36	77.34	1636	2022/7/11 16:11:54
dB-A	72.91	76.56	1701	2022/7/11 16:11:54
dB-A	78.74	77.07	236	2022/7/11 16:11:54
dB-A	72.87	76.53	226	2022/7/11 16:11:54
dB-A	74.50	76.19	382	2022/7/11 16:11:54
dB-A	75.23	75.86	242	2022/7/11 16:11:54
dB-A	75.77	75.54	253	2022/7/11 16:11:54
dB-A	76.52	75.74	290	2022/7/11 16:11:54
dB-A	75.55	75.42	306	2022/7/11 16:11:54
dB-A	76.81	75.63	489	2022/7/11 16:11:55
dB-A	76.94	75.59	392	2022/7/11 16:11:55
dB-A	78.65	76.16	1937	2022/7/11 16:11:55
dB-A	76.72	75.96	376	2022/7/11 16:11:55
dB-A	75.10	76.18	635	2022/7/11 16:11:55
dB-A	76.06	76.34	1862	2022/7/11 16:11:55
dB-A	74.09	76.22	333	2022/7/11 16:11:55
dB-A	75.88	76.23	554	2022/7/11 16:11:55
dB-A	75.29	76.11	285	2022/7/11 16:11:55
dB-A	76.40	76.20	392	2022/7/11 16:11:55
dB-A	76.57	76.17	1830	2022/7/11 16:11:55
dB-A	76.28	76.10	2110	2022/7/11 16:11:56
dB-A	74.43	75.68	328	2022/7/11 16:11:56
dB-A	73.67	75.38	258	2022/7/11 16:11:56
dB-A	76.08	75.48	312	2022/7/11 16:11:56
dB-A	73.52	75.22	253	2022/7/11 16:11:56
dB-A	74.84	75.30	258	2022/7/11 16:11:56
dB-A	72.96	75.01	317	2022/7/11 16:11:56
